17.1299 	EXP 	window1: blendMode = 'avg'
17.1485 	EXP 	window1: blendMode = 'avg'
17.1635 	EXP 	window1: blendMode = 'avg'
17.1794 	EXP 	window1: blendMode = 'avg'
17.1976 	EXP 	window1: blendMode = 'avg'
17.2134 	EXP 	window1: blendMode = 'avg'
17.2295 	EXP 	window1: blendMode = 'avg'
17.2462 	EXP 	window1: blendMode = 'avg'
17.2629 	EXP 	window1: blendMode = 'avg'
17.2808 	EXP 	window1: blendMode = 'avg'
17.2971 	EXP 	window1: blendMode = 'avg'
17.3127 	EXP 	window1: blendMode = 'avg'
17.3293 	EXP 	window1: blendMode = 'avg'
17.3461 	EXP 	window1: blendMode = 'avg'
17.3628 	EXP 	window1: blendMode = 'avg'
17.3816 	EXP 	window1: blendMode = 'avg'
17.3962 	EXP 	window1: blendMode = 'avg'
17.4141 	EXP 	window1: blendMode = 'avg'
17.4297 	EXP 	window1: blendMode = 'avg'
17.4462 	EXP 	window1: blendMode = 'avg'
17.4626 	EXP 	window1: blendMode = 'avg'
17.4795 	EXP 	window1: blendMode = 'avg'
17.4961 	EXP 	window1: blendMode = 'avg'
17.5130 	EXP 	window1: blendMode = 'avg'
17.5296 	EXP 	window1: blendMode = 'avg'
17.5465 	EXP 	window1: blendMode = 'avg'
17.5635 	EXP 	window1: blendMode = 'avg'
17.5795 	EXP 	window1: blendMode = 'avg'
17.5974 	EXP 	window1: blendMode = 'avg'
17.6136 	EXP 	window1: blendMode = 'avg'
17.6304 	EXP 	window1: blendMode = 'avg'
17.6463 	EXP 	window1: blendMode = 'avg'
17.6631 	EXP 	window1: blendMode = 'avg'
17.6800 	EXP 	window1: blendMode = 'avg'
17.6968 	EXP 	window1: blendMode = 'avg'
17.7296 	EXP 	window1: blendMode = 'avg'
17.7509 	EXP 	window1: blendMode = 'avg'
17.7724 	EXP 	window1: blendMode = 'avg'
17.7955 	EXP 	window1: blendMode = 'avg'
17.8129 	EXP 	window1: blendMode = 'avg'
17.8294 	EXP 	window1: blendMode = 'avg'
17.8461 	EXP 	window1: blendMode = 'avg'
17.8626 	EXP 	window1: blendMode = 'avg'
17.8798 	EXP 	window1: blendMode = 'avg'
17.8964 	EXP 	window1: blendMode = 'avg'
17.9132 	EXP 	window1: blendMode = 'avg'
17.9297 	EXP 	window1: blendMode = 'avg'
17.9462 	EXP 	window1: blendMode = 'avg'
17.9640 	EXP 	window1: blendMode = 'avg'
17.9796 	EXP 	window1: blendMode = 'avg'
17.9964 	EXP 	window1: blendMode = 'avg'
18.0131 	EXP 	window1: blendMode = 'avg'
18.0299 	EXP 	window1: blendMode = 'avg'
18.0468 	EXP 	window1: blendMode = 'avg'
18.0630 	EXP 	window1: blendMode = 'avg'
18.0797 	EXP 	window1: blendMode = 'avg'
18.0963 	EXP 	window1: blendMode = 'avg'
18.1126 	EXP 	window1: blendMode = 'avg'
18.1294 	EXP 	window1: blendMode = 'avg'
18.1470 	EXP 	window1: blendMode = 'avg'
18.1627 	EXP 	window1: blendMode = 'avg'
18.1808 	EXP 	window1: blendMode = 'avg'
18.1961 	EXP 	window1: blendMode = 'avg'
18.2130 	EXP 	window1: blendMode = 'avg'
18.2299 	EXP 	window1: blendMode = 'avg'
18.2466 	EXP 	window1: blendMode = 'avg'
18.2635 	EXP 	window1: blendMode = 'avg'
18.2797 	EXP 	window1: blendMode = 'avg'
18.2962 	EXP 	window1: blendMode = 'avg'
18.3127 	EXP 	window1: blendMode = 'avg'
18.3297 	EXP 	window1: blendMode = 'avg'
18.3463 	EXP 	window1: blendMode = 'avg'
18.3643 	EXP 	window1: blendMode = 'avg'
18.3802 	EXP 	window1: blendMode = 'avg'
18.3970 	EXP 	window1: blendMode = 'avg'
18.4134 	EXP 	window1: blendMode = 'avg'
18.4295 	EXP 	window1: blendMode = 'avg'
18.4464 	EXP 	window1: blendMode = 'avg'
18.4645 	EXP 	window1: blendMode = 'avg'
18.4668 	DATA 	Keypress: space
18.4800 	EXP 	New trial (rep=0, index=10): {'color': u'green', 'word': u'blue'}
18.4953 	EXP 	text: autoDraw = False
18.4953 	EXP 	text: color = u'green (named)'
18.4953 	EXP 	text: text = u'blue'
18.9978 	EXP 	window1: blendMode = 'avg'
19.0118 	EXP 	text: autoDraw = True
19.0133 	EXP 	window1: blendMode = 'avg'
19.0297 	EXP 	window1: blendMode = 'avg'
19.0468 	EXP 	window1: blendMode = 'avg'
19.0635 	EXP 	window1: blendMode = 'avg'
